"","unit","coicop","geo","time","values"
"388","I05","CP00","DE",2007-06-01,103.9
"389","I05","CP00","FR",2007-06-01,103.63
"390","I05","CP00","PL",2007-06-01,104.1
"391","I05","CP00","DE",2007-05-01,103.8
"392","I05","CP00","FR",2007-05-01,103.49
"393","I05","CP00","PL",2007-05-01,103.9
"394","I05","CP00","DE",2007-04-01,103.6
"395","I05","CP00","FR",2007-04-01,103.21
"396","I05","CP00","PL",2007-04-01,103.3
"397","I05","CP00","DE",2007-03-01,103.2
"398","I05","CP00","FR",2007-03-01,102.67
"399","I05","CP00","PL",2007-03-01,102.8
"400","I05","CP00","DE",2007-02-01,103
"401","I05","CP00","FR",2007-02-01,102.18
"402","I05","CP00","PL",2007-02-01,102.2
"403","I05","CP00","DE",2007-01-01,102.5
"404","I05","CP00","FR",2007-01-01,101.97
"405","I05","CP00","PL",2007-01-01,101.9
"406","I05","CP00","DE",2006-12-01,102.7
"407","I05","CP00","FR",2006-12-01,102.37
"408","I05","CP00","PL",2006-12-01,101.6
"409","I05","CP00","DE",2006-11-01,101.8
"410","I05","CP00","FR",2006-11-01,102.12
"411","I05","CP00","PL",2006-11-01,101.8
"412","I05","CP00","DE",2006-10-01,101.9
"413","I05","CP00","FR",2006-10-01,101.99
"414","I05","CP00","PL",2006-10-01,101.8
"415","I05","CP00","DE",2006-09-01,101.8
"416","I05","CP00","FR",2006-09-01,102.23
"417","I05","CP00","PL",2006-09-01,101.8
"418","I05","CP00","DE",2006-08-01,102.3
"419","I05","CP00","FR",2006-08-01,102.44
"420","I05","CP00","PL",2006-08-01,101.7
"421","I05","CP00","DE",2006-07-01,102.4
"422","I05","CP00","FR",2006-07-01,102.1
"423","I05","CP00","PL",2006-07-01,101.4
"424","I05","CP00","DE",2006-06-01,101.9
"425","I05","CP00","FR",2006-06-01,102.3
"426","I05","CP00","PL",2006-06-01,101.5
"427","I05","CP00","DE",2006-05-01,101.8
"428","I05","CP00","FR",2006-05-01,102.3
"429","I05","CP00","PL",2006-05-01,101.6
"430","I05","CP00","DE",2006-04-01,101.6
"431","I05","CP00","FR",2006-04-01,101.87
"432","I05","CP00","PL",2006-04-01,101.1
"433","I05","CP00","DE",2006-03-01,101.2
"434","I05","CP00","FR",2006-03-01,101.41
"435","I05","CP00","PL",2006-03-01,100.4
"436","I05","CP00","DE",2006-02-01,101.1
"437","I05","CP00","FR",2006-02-01,100.97
"438","I05","CP00","PL",2006-02-01,100.3
"439","I05","CP00","DE",2006-01-01,100.7
"440","I05","CP00","FR",2006-01-01,100.58
"441","I05","CP00","PL",2006-01-01,100.3
"442","I05","CP00","DE",2005-12-01,101.3
"443","I05","CP00","FR",2005-12-01,100.66
"444","I05","CP00","PL",2005-12-01,100.2
"445","I05","CP00","DE",2005-11-01,100.3
"446","I05","CP00","FR",2005-11-01,100.53
"447","I05","CP00","PL",2005-11-01,100.5
"448","I05","CP00","DE",2005-10-01,100.9
"449","I05","CP00","FR",2005-10-01,100.75
"450","I05","CP00","PL",2005-10-01,100.7
"451","I05","CP00","DE",2005-09-01,100.8
"452","I05","CP00","FR",2005-09-01,100.76
"453","I05","CP00","PL",2005-09-01,100.4
"454","I05","CP00","DE",2005-08-01,100.5
"455","I05","CP00","FR",2005-08-01,100.33
"456","I05","CP00","PL",2005-08-01,100
"457","I05","CP00","DE",2005-07-01,100.3
"458","I05","CP00","FR",2005-07-01,99.91
"459","I05","CP00","PL",2005-07-01,100
"460","I05","CP00","DE",2005-06-01,99.9
"461","I05","CP00","FR",2005-06-01,100.09
"462","I05","CP00","PL",2005-06-01,100
"463","I05","CP00","DE",2005-05-01,99.7
"464","I05","CP00","FR",2005-05-01,99.96
"465","I05","CP00","PL",2005-05-01,100.2
"466","I05","CP00","DE",2005-04-01,99.4
"467","I05","CP00","FR",2005-04-01,99.89
"468","I05","CP00","PL",2005-04-01,99.9
"469","I05","CP00","DE",2005-03-01,99.4
"470","I05","CP00","FR",2005-03-01,99.71
"471","I05","CP00","PL",2005-03-01,99.5
"472","I05","CP00","DE",2005-02-01,99
"473","I05","CP00","FR",2005-02-01,99.03
"474","I05","CP00","PL",2005-02-01,99.4
"475","I05","CP00","DE",2005-01-01,98.6
